City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Vaini,TO,-21.2,-175.2,75.36,88,75,9.22,light intensity shower rain
79,Frunze,UA,48.6686,38.7544,51.82,72,0,11.1,clear sky
80,La Ronge,CA,55.1001,-105.2842,61.05,48,75,4.61,broken clouds
81,Busselton,AU,-33.65,115.3333,57.2,60,0,7.02,clear sky
82,Homer,US,59.6425,-151.5483,62.49,67,75,6.91,broken clouds
83,Westport,US,41.1415,-73.3579,76.75,86,0,9.22,clear sky
84,Rock Sound,BS,24.9,-76.2,81.07,78,20,16.93,few clouds
85,Cranbrook,CA,49.4999,-115.7688,78.64,25,75,5.75,broken clouds
86,Salym,RU,60.0625,71.4789,58.33,53,57,9.28,broken clouds
87,Ballina,AU,-28.8667,153.5667,58.01,99,100,11.83,light rain
88,Tuktoyaktuk,CA,69.4541,-133.0374,77.0,41,20,6.91,few clouds
89,Aklavik,CA,68.2191,-135.0107,79.93,33,43,13.85,scattered clouds
90,Banamba,ML,13.55,-7.45,80.62,55,86,5.46,overcast clouds
91,Saint-Philippe,RE,-21.3585,55.7679,69.39,69,69,14.63,broken clouds
92,Kavaratti,IN,10.5669,72.642,81.95,82,95,21.81,light rain
93,Haines Junction,CA,60.7522,-137.5108,76.95,36,86,9.22,overcast clouds
94,Scottsbluff,US,41.8666,-103.6672,67.78,68,70,13.8,broken clouds
95,Poum,NC,-20.2333,164.0167,77.31,74,100,14.94,overcast clouds
96,Arlit,NE,18.7369,7.3853,82.53,46,54,8.12,broken clouds
97,Sile,TR,41.1754,29.6133,70.57,79,0,5.35,clear sky
98,Mindelo,CV,16.8901,-24.9804,74.75,64,40,16.11,scattered clouds
99,Hami,CN,42.8,93.45,88.16,25,86,9.15,overcast clouds
100,Gaillac,FR,43.9016,1.8969,54.55,66,6,3.67,clear sky
101,Muravlenko,RU,63.7898,74.523,55.74,55,96,13.94,overcast clouds
102,Khatanga,RU,71.9667,102.5,54.72,53,96,14.43,overcast clouds
103,Kolondieba,ML,11.0882,-6.8926,73.45,83,57,1.66,light rain
104,Mar Del Plata,AR,-38.0023,-57.5575,50.09,78,100,4.61,light rain
105,Kargopol,RU,61.5071,38.9456,62.22,60,7,6.22,clear sky
106,Esperance,AU,-33.8667,121.9,57.79,57,0,6.51,clear sky
107,Port Augusta,AU,-32.5,137.7667,55.94,49,1,16.75,clear sky
108,Boddam,GB,57.4667,-1.7833,53.98,86,96,5.32,overcast clouds
109,Bredasdorp,ZA,-34.5322,20.0403,54.81,66,5,5.41,clear sky
110,Geraldton,AU,-28.7667,114.6,59.41,63,0,6.91,clear sky
111,Umba,RU,66.6871,34.3429,55.56,82,34,8.25,scattered clouds
112,Manbij,SY,36.5281,37.9549,72.09,75,0,16.64,clear sky
113,Chokurdakh,RU,70.6333,147.9167,49.75,59,88,10.87,overcast clouds
114,Faya,SA,18.3851,42.4509,73.51,34,64,5.01,broken clouds
115,Doha,QA,25.2867,51.5333,96.78,36,0,16.11,clear sky
116,Qaanaaq,GL,77.484,-69.3632,38.32,75,72,1.95,broken clouds
117,Hobart,AU,-42.8794,147.3294,54.23,70,20,12.66,few clouds
118,Quang Ngai,VN,15.1167,108.8,81.63,70,100,3.13,overcast clouds
119,Grindavik,IS,63.8424,-22.4338,48.15,93,100,4.61,overcast clouds
120,Lavrentiya,RU,65.5833,-171.0,46.35,98,100,10.63,light rain
121,Castro,BR,-24.7911,-50.0119,50.4,81,0,4.61,clear sky
122,Tandalti,SD,13.0167,31.8667,78.78,60,91,5.1,overcast clouds
123,Clyde River,CA,70.4692,-68.5914,30.43,100,100,5.75,heavy snow
124,Pula,HR,44.8683,13.8481,73.96,64,0,3.44,clear sky
125,Faanui,PF,-16.4833,-151.75,78.53,70,43,20.22,light rain
126,Mnogovershinnyy,RU,53.9353,139.9242,80.51,40,6,5.95,clear sky
127,Namibe,AO,-15.1961,12.1522,66.81,62,0,7.31,clear sky
128,San Patricio,US,28.017,-97.5169,85.89,77,80,11.43,broken clouds
129,Lasa,IT,46.6166,10.7002,57.36,89,2,1.54,clear sky
130,Tarko-Sale,RU,64.9225,77.785,58.05,53,89,12.77,overcast clouds
131,Bandundu,CD,-3.3167,17.3667,72.82,46,1,2.8,clear sky
132,Kasongo-Lunda,CD,-6.4667,16.8167,64.06,49,0,0.67,clear sky
133,Carnarvon,AU,-24.8667,113.6333,65.97,38,0,17.98,clear sky
134,Primorsko-Akhtarsk,RU,46.0497,38.1747,65.17,65,0,15.19,clear sky
135,Naze,JP,28.3667,129.4833,77.92,88,100,17.4,heavy intensity rain
136,Aykhal,RU,66.0,111.5,69.35,50,100,10.33,overcast clouds
137,Sant Cugat Del Valles,ES,41.4667,2.0833,70.52,78,0,6.91,clear sky
138,Noshiro,JP,40.2039,140.0242,77.83,76,79,7.38,broken clouds
139,Arraial Do Cabo,BR,-22.9661,-42.0278,69.04,83,0,19.71,clear sky
140,Hamilton,US,39.1834,-84.5333,81.84,68,0,5.01,clear sky
141,Qaqortoq,GL,60.7167,-46.0333,40.42,87,96,3.83,overcast clouds
142,Svetlyy,RU,54.675,20.1347,66.25,96,100,8.28,overcast clouds
143,Georgetown,MY,5.4112,100.3354,80.89,86,20,10.36,few clouds
144,Encrucijada,CU,22.6169,-79.8711,79.36,89,20,8.05,few clouds
145,Dir,PK,35.2058,71.8756,78.66,66,36,4.12,scattered clouds
146,Hilo,US,19.7297,-155.09,82.13,70,100,6.91,overcast clouds
147,Margate,GB,51.3813,1.3862,56.3,85,10,1.99,clear sky
148,Kuhdasht,IR,33.535,47.6061,76.82,16,0,6.46,clear sky
149,Pisco,PE,-13.7,-76.2167,61.02,88,100,2.3,overcast clouds
150,Lorengau,PG,-2.0226,147.2712,86.0,69,13,13.33,few clouds
151,Salalah,OM,17.0151,54.0924,82.49,83,75,4.61,broken clouds
152,Iqaluit,CA,63.7506,-68.5145,40.73,80,20,11.5,few clouds
153,San Francisco,US,37.7749,-122.4194,67.03,87,75,21.85,broken clouds
154,Meadow Lake,US,34.8014,-106.5436,76.44,52,71,9.69,broken clouds
155,Simoes,BR,-7.5989,-40.8178,70.25,79,73,12.01,broken clouds
156,At-Bashi,KG,41.1702,75.8106,67.87,29,3,2.86,clear sky
157,Kununurra,AU,-15.7667,128.7333,69.78,49,100,17.27,overcast clouds
158,Tual,ID,-5.6667,132.75,81.77,81,50,19.08,scattered clouds
159,Narok,KE,-1.0783,35.8601,49.01,98,19,4.92,few clouds
160,Aginskoye,RU,51.1,114.53,82.98,46,3,2.95,clear sky
161,Maua,BR,-23.6678,-46.4614,64.36,79,1,6.11,clear sky
162,Gubkinskiy,RU,64.434,76.5026,57.54,53,96,13.73,overcast clouds
163,Russell,US,32.3502,-85.1999,80.2,81,86,3.83,light rain
164,Caruray,PH,10.3094,119.0128,89.02,63,69,3.91,broken clouds
165,Byron Bay,AU,-28.65,153.6167,57.94,95,100,11.36,light rain
166,Bardiyah,LY,31.7561,25.0865,75.0,86,0,13.91,clear sky
167,Roald,NO,62.5833,6.1333,64.99,77,100,23.02,overcast clouds
168,Sembe,CG,1.6481,14.5806,68.56,95,100,2.26,overcast clouds
169,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,70.39,43,44,5.97,scattered clouds
170,Nobres,BR,-14.7203,-56.3275,72.5,52,1,3.78,clear sky
171,Leningradskiy,RU,69.3833,178.4167,44.4,78,92,5.82,overcast clouds
172,Nome,US,64.5011,-165.4064,57.27,88,100,14.97,light rain
