City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Narsaq,GL,2022-06-27 02:42:34,60.9167,-46.05,44.82,97,100,4.94
68,Sorland,NO,2022-06-27 02:42:34,67.667,12.6934,60.66,83,17,15.7
69,Talnakh,RU,2022-06-27 02:42:34,69.4865,88.3972,65.21,57,100,2.1
70,Castro,BR,2022-06-27 02:38:47,-24.7911,-50.0119,51.35,90,96,7.78
71,Andenes,NO,2022-06-27 02:42:35,69.3143,16.1194,55.38,88,77,5.75
72,Khandyga,RU,2022-06-27 02:42:35,62.6667,135.6,85.32,36,53,12.21
73,Kaitangata,NZ,2022-06-27 02:42:36,-46.2817,169.8464,46.31,88,100,4.43
74,Thompson,CA,2022-06-27 02:42:36,55.7435,-97.8558,60.96,77,100,18.41
75,Lorengau,PG,2022-06-27 02:42:36,-2.0226,147.2712,84.16,74,75,14.32
76,Lavrentiya,RU,2022-06-27 02:42:37,65.5833,-171.0,42.4,99,100,8.39
77,Saint-Denis,FR,2022-06-27 02:42:37,48.9167,2.3333,62.11,82,0,2.3
78,Bethel,US,2022-06-27 02:42:37,41.3712,-73.414,74.86,66,78,7.99
79,Hermanus,ZA,2022-06-27 02:42:38,-34.4187,19.2345,52.81,68,1,9.48
80,Soe,ID,2022-06-27 02:42:38,-9.8607,124.284,69.94,81,97,6.33
81,Kahului,US,2022-06-27 02:42:38,20.8947,-156.47,84.22,67,40,19.57
82,Waddan,LY,2022-06-27 02:42:39,29.1614,16.139,84.9,26,0,10.22
83,Gizo,SB,2022-06-27 02:42:39,-8.103,156.8419,84.06,71,100,9.55
84,Butaritari,KI,2022-06-27 02:42:39,3.0707,172.7902,82.6,73,23,13.22
85,El Dovio,CO,2022-06-27 02:42:40,4.5079,-76.2362,61.27,97,99,2.51
86,Port Alfred,ZA,2022-06-27 02:42:40,-33.5906,26.891,55.4,60,2,4.36
87,Bluff,NZ,2022-06-27 02:42:40,-46.6,168.3333,48.79,62,100,14.9
88,Sao Filipe,CV,2022-06-27 02:42:41,14.8961,-24.4956,74.12,80,98,10.07
89,Mareeba,AU,2022-06-27 02:42:41,-17.0,145.4333,75.92,80,92,7.96
90,Muriwai Beach,NZ,2022-06-27 02:43:41,-36.8167,174.45,60.96,65,46,7.74
91,Laguna,US,2022-06-27 02:43:42,38.421,-121.4238,99.39,23,0,8.05
92,Mandera,KE,2022-06-27 02:43:42,3.9366,41.867,74.23,73,32,19.13
93,Ostrovnoy,RU,2022-06-27 02:43:42,68.0531,39.5131,43.61,79,99,10.96
94,Bengkulu,ID,2022-06-27 02:43:43,-3.8004,102.2655,81.79,69,43,1.5
95,Kamenka,RU,2022-06-27 02:43:43,51.3223,42.7678,60.26,79,0,7.16
96,Hofn,IS,2022-06-27 02:43:43,64.2539,-15.2082,47.1,76,100,7.36
97,Ndola,ZM,2022-06-27 02:43:44,-12.9587,28.6366,51.19,84,3,8.03
98,Rafaela,AR,2022-06-27 02:43:44,-31.2503,-61.4867,51.01,53,100,1.01
99,Codrington,AU,2022-06-27 02:43:44,-38.2667,141.9667,54.97,58,79,7.27
100,Maniitsoq,GL,2022-06-27 02:43:45,65.4167,-52.9,39.45,91,100,29.3
101,Alihe,CN,2022-06-27 02:43:45,50.5667,123.7167,68.58,82,92,1.5
102,Avarua,CK,2022-06-27 02:43:45,-21.2078,-159.775,77.05,73,75,19.57
103,New Norfolk,AU,2022-06-27 02:43:46,-42.7826,147.0587,49.91,50,93,3.74
104,Guerrero Negro,MX,2022-06-27 02:43:46,27.9769,-114.0611,73.17,71,9,13.44
105,Kalaleh,IR,2022-06-27 02:43:46,37.3807,55.4916,79.16,69,75,4.61
106,Lata,PT,2022-06-27 02:43:47,40.1629,-8.3327,61.81,94,2,3.02
107,Arraial Do Cabo,BR,2022-06-27 02:43:47,-22.9661,-42.0278,66.52,69,100,16.82
108,Kijang,KR,2022-06-27 02:43:47,35.2442,129.2139,78.53,90,100,14.92
109,Adrar,MR,2022-06-27 02:43:48,20.5022,-10.0711,83.68,17,0,9.84
110,Teguise,ES,2022-06-27 02:43:48,29.0605,-13.564,66.42,68,40,18.41
111,Isangel,VU,2022-06-27 02:43:48,-19.55,169.2667,82.51,78,75,11.5
112,Wilmington,US,2022-06-27 02:39:38,34.2257,-77.9447,78.71,72,0,4.61
113,Mar Del Plata,AR,2022-06-27 02:43:49,-38.0023,-57.5575,43.95,78,0,5.75
114,Xichang,CN,2022-06-27 02:39:11,27.8964,102.2634,69.44,94,100,1.9
115,Margate,GB,2022-06-27 02:43:49,51.3813,1.3862,55.31,76,40,4.94
116,Montemor-O-Novo,PT,2022-06-27 02:43:49,38.6481,-8.2145,53.46,79,0,11.74
117,Portland,US,2022-06-27 02:40:47,45.5234,-122.6762,97.39,34,0,6.91
118,Chuy,UY,2022-06-27 02:43:50,-33.6971,-53.4616,47.95,84,100,4.74
119,Kortkeros,RU,2022-06-27 02:43:50,61.8106,51.5806,57.2,92,98,1.45
120,Sitka,US,2022-06-27 02:43:51,57.0531,-135.33,66.09,63,20,10.36
121,Nalut,LY,2022-06-27 02:43:51,30.3333,10.85,85.39,16,0,13.6
122,Provideniya,RU,2022-06-27 02:43:51,64.3833,-173.3,46.51,93,100,7.0
123,Luderitz,NA,2022-06-27 02:43:52,-26.6481,15.1594,73.85,36,0,31.29
124,Saskylakh,RU,2022-06-27 02:43:52,71.9167,114.0833,46.54,45,10,13.69
125,Rio Grande,BR,2022-06-27 02:43:52,-32.035,-52.0986,43.95,79,100,7.7
126,Pitimbu,BR,2022-06-27 02:43:52,-7.4706,-34.8086,73.99,91,34,11.56
127,Yellowknife,CA,2022-06-27 02:43:53,62.456,-114.3525,59.52,47,20,13.8
128,Khatanga,RU,2022-06-27 02:43:53,71.9667,102.5,49.87,45,7,14.61
129,Rantauprapat,ID,2022-06-27 02:43:53,2.1,99.8333,85.03,67,99,0.18
130,Praia Da Vitoria,PT,2022-06-27 02:43:54,38.7333,-27.0667,65.75,82,75,9.73
131,Bredasdorp,ZA,2022-06-27 02:39:51,-34.5322,20.0403,47.14,76,0,3.94
132,Coffs Harbour,AU,2022-06-27 02:43:54,-30.3,153.1333,67.96,42,5,14.97
133,Tasiilaq,GL,2022-06-27 02:43:55,65.6145,-37.6368,37.56,71,9,6.04
134,Chato,TZ,2022-06-27 02:43:55,-2.6378,31.7669,65.93,59,55,4.81
135,Penapolis,BR,2022-06-27 02:43:55,-21.4197,-50.0775,64.42,78,47,12.66
136,Hambantota,LK,2022-06-27 02:44:56,6.1241,81.1185,80.94,89,20,6.91
137,Kyra,RU,2022-06-27 02:44:56,49.5776,111.9753,77.2,38,1,2.26
138,Torbay,CA,2022-06-27 02:44:56,47.6666,-52.7314,66.97,94,75,11.5
139,Bograd,RU,2022-06-27 02:44:56,54.2344,90.8328,82.58,46,59,6.62
140,Shache,CN,2022-06-27 02:44:57,38.4167,77.2406,89.51,17,49,2.28
141,General Roca,AR,2022-06-27 02:41:33,-39.0333,-67.5833,41.63,61,39,12.93
142,Umm Lajj,SA,2022-06-27 02:44:57,25.0213,37.2685,82.4,48,0,6.85
143,Fort Nelson,CA,2022-06-27 02:43:12,58.8053,-122.7002,69.39,49,75,3.44
144,Fare,PF,2022-06-27 02:44:58,-16.7,-151.0167,80.42,70,6,18.95
145,Grand-Lahou,CI,2022-06-27 02:44:58,5.1367,-5.0242,76.37,88,36,6.2
146,Parakan,ID,2022-06-27 02:44:58,-6.4191,106.0081,81.97,77,98,1.74
